sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 4,28,او بو يردە ايماس بزاردەدور,"U bu yerde emes, bazārdadur",She is not here; she is at the market.,"Ол бұл жерде емес, базарда","Её нет здесь, она на рынке","U bu yerda emas, bozordadir","O burada değil, pazardadır","U bu yerde emes, bazārdadur",chg,sentence,5,
Ch 4,29,اولار باغدە ايماس اويدەدورلار,"Olar bāǧda emes, üydedürler",They are not in the garden; they are in the house.,"Олар бақта емес, үйде","Они не в саду, они в доме","Ular bog'da emas, uydadirlar","Onlar bahçede değil, evdédirler","Olar bāǧda emes, üydedürler",chg,phrase,4,
Ch 4,30,سن دوست ايماس اتادورسن,"Sen dost emes, atadursen","You are not a friend, but a father","Сен дос емессің, әкесің","Ты не друг, ты отец","Sen do'st emassan, otasan","Sen dost değilsin, babasın","Sen dost emes, atadursen",chg,phrase,4,
Ch 4,31,سيزلار ايرکک کشی ايماس مظلوم دورسيزلار,"Sizler erkek kişi emes, maẓlūmdursızlar",You are not men but women.,"Сіздер еркек емессіздер, әйелсіздер","Вы не мужчины, вы женщины","Sizlar erkak kishi emassiz, ayolsizlar","Sizler erkek değilsiniz, kadınsınız","Sizler erkek kişi emes, maẓlūmdursızlar",chg,sentence,5,
Ch 4,32,من کاشغر پادشاەسى دورمن,Men Kaşǧar pādişāhsıdurmen,I am the king of Kashgar,Мен Қашқар патшасымын,Я царь Кашгара,Men Qashqar podshohiman,Ben Kaşgar padişahıyım,Men Kaşǧar pādişāhsıdurmen,chg,phrase,3,
Ch 4,33,بيز کچيک بلا ايماس ميز,Biz kiçik bala emesmiz,We are not small children,Біз кішкентай бала емеспіз,Мы не маленькие дети,Biz kichik bola emasmiz,Biz küçük çocuk değiliz,Biz kiçik bala emesmiz,chg,phrase,4,
Ch 4,34,من باى,Men bay,I am a wealthy man,Мен баймын,Я богач,Men boyman,Ben zenginim,Men bay,chg,phrase,2,
Ch 4,35,ايسيق سو ايماس,Issıq su emes,It is not hot water.,Ыстық су емес,Это не горячая вода,Issiq suv emas,Sıcak su değil,Issıq su emes,chg,phrase,3,
Ch 4,36,ملانينک اوغلی دورمن,Mollānıñ oǧlıdurmen,I am the mullah's son,Молданың ұлымын,Я сын муллы,Mollaning o'g'liman,Mollanın oğluyum,Mollānıñ oǧlıdurmen,chg,phrase,2,
Ch 4,37,کوچادە ايماس ميز,Kuçada emesmiz,We are not in Kucha.,Кучада емеспіз,Мы не в Куче,Kuchada emasmiz,Kuça'da değiliz,Kuçada emesmiz,chg,phrase,2,
Ch 4,38,او ملا مو,O mollā mu?,Is he a mullah?,Ол молда ма?,Он мулла?,U mollami?,O molla mı?,O mollā mu?,chg,phrase,3,
Ch 4,39,پادشاەمن مو,Pādişāhmen mü?,Am I a king?,Патшамын ба?,Я царь?,Podshohmanmi?,Padişah mıyım?,Pādişāhmen mü?,chg,phrase,2,
Ch 4,40,توختە نينک بلاسي موسيز,Toḫtanıñ balası musız?,Are you Tokhta's child?,Тоқтаның баласысыз ба?,Вы ребенок Тохты?,To'xtaning bolasisizmi?,Tohta'nın çocuğu musunuz?,Toḫtanıñ balası musız?,chg,phrase,3,
Ch 4,41,کاشغرنينک خواجەىسی موسن,Kaşǧarnıñ ḫᵛācası musen?,Are you the Khwaja of Kashgar?,Қашқардың қожасысың ба?,Ты ходжа Кашгара?,Qashqarning xo'jasimisan?,Kaşgar'ın hocası mısın?,Kaşǧarnıñ ḫᵛācası musen?,chg,phrase,3,
Ch 4,42,کيچيک بلاميزمو يا چونک بای لارمو,"Kiçik balamız mu, ya çoñ baylar mu?",Are we little children or great wealthy men?,"Кішкентай баламыз ба, әлде үлкен байлармыз ба?",Мы маленькие дети или большие богачи?,Kichik bolamizmi yoki katta boylarmi?,"Küçük çocuk muyuz, yoksa büyük zenginler miyiz?","Kiçik balamız mu, ya çoñ baylar mu?",chg,sentence,7,
Ch 4,43,سيزلار کوچا خواجەلاريدين موسيزلار,Sizler Kuça ḫᵛācalarıdın musızlar?,Are you some of the Kuchar khwajas?,Сіздер Куча қожаларынансыз ба?,Вы из ходжей Кучи?,Sizlar Kucha xo'jalaridanmisizlar?,Sizler Kuça hocalarından mısınız?,Sizler Kuça ḫᵛācalarıdın musızlar?,chg,phrase,4,
Ch 4,44,من پادشاەنينک اتاسى ايماس من مو,Men pādişāhnıñ atası emesmen mü?,Am I not the king's father?,Мен патшаның әкесі емеспін бе?,Разве я не отец царя?,Men podshohning otasi emasmanmi?,Ben padişahın babası değil miyim?,Men pādişāhnıñ atası emesmen mü?,chg,sentence,5,
Ch 4,45,سيز کوچانينک چونک ملاسى ايماس موسيز,Siz Kuçanıñ çoñ mollāsı emes müsiz?,Are you not a great mullah of Kuchar?,Сіз Кучаның үлкен молдасы емессіз бе?,Разве вы не великий мулла Кучи?,Siz Kuchaning katta mollasi emasmisiz?,Siz Kuça'nın büyük mollası değil misiniz?,Siz Kuçanıñ çoñ mollāsı emes müsiz?,chg,sentence,6,
Ch 4,46,ملاموسيز,Mollā musız?,Are you a mullah?,Молдасыз ба?,Вы мулла?,Mollamisiz?,Molla mısınız?,Mollā musız?,chg,phrase,2,
Ch 4,47,خواجەميزمو,ḫᵛācamız mu?,Are we Khwajas?,Қожамыз ба?,Мы ходжи?,Xo'jamizmi?,Hoca mıyız?,ḫᵛācamız mu?,chg,phrase,2,
Ch 4,48,باي موسيزلار,Bay musızlar?,Are you wealthy?,Байсыздар ма?,Вы богаты?,Boymisizlar?,Zengin misiniz?,Bay musızlar?,chg,phrase,2,
Ch 4,49,ملا يا باى,mollā ya bay,mullah or rich man,молда немесе бай,мулла или богач,molla yoki boy,molla veya zengin,mollā ya bay,chg,phrase,3,
Ch 4,50,اول کيشی کاشغر پادشاە سى يا کوچا خواجە ىسي دور,Ol kişi Kaşǧar pādişāhsı yā Kuça ḫᵛācasıdur,That person is either a ruler of Kashgar or a khwaja of Kucha.,Ол кісі Қашқар патшасы немесе Куча қожасы,"Тот человек — или правитель Кашгара, или ходжа Кучи",U kishi Qashqar podshohi yoki Kucha xo'jasidir,O kişi ya Kaşgar padişahı ya da Kuça hocasıdır,Ol kişi Kaşǧar pādişāhsı yā Kuça ḫᵛācasıdur,chg,sentence,7,
Ch 4,51,بزاردين باليق يا قوى گوشتی الادور,Bazārdın balıq ya qoy göşti aladur,He gets either fish or mutton from the market.,Базардан балық немесе қой етін алады,Он берет на рынке рыбу или баранину,Bozordan baliq yoki qo'y go'shti oladi,Pazardan balık veya koyun eti alıyor,Bazārdın balıq ya qoy göşti aladur,chg,sentence,6,
Ch 4,52,خواجەلار کوچادين کلادور يا کاشغردين کلادور,"ḫᵛācalar Kuçadin keledür, yā Kaşǧardın keledür",The khwajas are either coming from Kuchar or from Kashgar.,Қожалар Кучадан келе жатыр немесе Қашқардан келе жатыр,"Ходжи идут или из Кучи, или из Кашгара",Xo'jalar Kuchadan kelyapti yoki Qashqardan kelyapti,Hocalar ya Kuça'dan geliyor ya da Kaşgar'dan geliyor,"ḫᵛācalar Kuçadin keledür, yā Kaşǧardın keledür",chg,sentence,6,
Ch 4,53,توختە بزاردە مو يا اويدە مو,"Toḫta bazārda mu, yā üyde mü?",Is Tokhta at the market or at home?,"Тоқта базарда ма, әлде үйде ме?",Тохта на рынке или дома?,To'xta bozordami yoki uydami?,"Tohta pazarda mı, yoksa evde mi?","Toḫta bazārda mu, yā üyde mü?",chg,sentence,6,
Ch 4,54,يا خدا,Yā ḫudā!,"Oh, God!","Уа, Құдай!","О, Боже!",Yo Xudo!,Ya Hüda!,Yā ḫudā!,chg,phrase,2,
Ch 4,55,يا پادشاە,Yā pādişāh!,"Oh, king!","Уа, патша!","О, царь!",Ey podshoh!,Ey padişah!,Yā pādişāh!,chg,phrase,2,
Ch 4,56,تولا يخشي دورسيز,Tola yaḫşıdursız,You are so good.,Өте жақсысыз,Вы очень хорошие,Juda yaxshisiz,Çok iyisiniz,Tola yaḫşıdursız,chg,phrase,2,
Ch 4,57,اى توختە,Ay Toḫta!,"Oh, Tokhta!","Ей, Тоқта!","Эй, Тохта!",Ey To'xta!,Ey Tohta!,Ay Toḫta!,chg,phrase,2,
Ch 4,58,اى ملا,Ay mollā!,"Oh, Mullah!","Ей, молда!","Эй, мулла!",Ey molla!,Ey molla!,Ay mollā!,chg,phrase,2,
Ch 4,59,اشبو باغ تولا چونک دور,Uşbu bāǧ tola çoñdur,This garden is very large.,Бұл бақ өте үлкен,Этот сад очень большой,Ushbu bog' juda katta,Bu bahçe çok büyüktür,Uşbu bāǧ tola çoñdur,chg,phrase,4,
Ch 4,64,قيز بلا,qız bala,girl,қыз бала,девочка,qiz bola,kız çocuk,qız bala,chg,phrase,2,
Ch 4,70,کونکلی اق,köñli aq,kind,ақкөңіл,добросердечный,ko'ngli oq,iyi kalpli,köñli aq,chg,phrase,2,
Ch 4,74,اوغول بلا,oǧul bala,boy,ұл бала,мальчик,o'g'il bola,erkek çocuk,oǧul bala,chg,phrase,2,
Ch 4,83,کونکلى قرا,köñli qara,mean,қара ниетті,злобный,ko'ngli qora,kötü kalpli,köñli qara,chg,phrase,2,
Ch 5,11,قیلامن ‌مو,qılamen mü,Do I do it?,қыламын ба?,делаю ли я?,qilamanmi?,yapar mıyım?,qılamen mü,chg,phrase,2,
Ch 5,12,خواهلایدورمو,ḫᵛāhlaydur mu,Does she want it?,қалай ма?,хочет ли она?,xohlaydimi?,ister mi?,ḫᵛāhlaydur mu,chg,phrase,2,
Ch 5,13,کوراسیزمو,köresiz mu,Do you see it?,көресіз бе?,видите ли вы?,ko'rasizmi?,görür müsünüz?,köresiz mu,chg,phrase,2,
Ch 5,14,ایستایمیزمو,isteymiz mu,Do we seek it?,іздейміз бе?,ищем ли мы?,izlaymizmi?,arar mıyız?,isteymiz mu,chg,phrase,2,
Ch 5,15,قیلمايمن مو,qılmaymen mü,Do I not do it?,қылмаймын ба?,не делаю ли я?,qilmaymanmi?,yapmaz mıyım?,qılmaymen mü,chg,phrase,2,
Ch 5,16,خواهلامايدورمو,ḫᵛāhlamaydur mu,Does he not want to go?,қаламай ма?,не хочет ли он?,xohlamaydimi?,istemez mi?,ḫᵛāhlamaydur mu,chg,phrase,2,
Ch 5,17,کورمای سیزمو,körmeysiz mü,Do you not see it?,көрмейсіз бе?,не видите ли вы?,ko'rmaysizmi?,görmez misiniz?,körmeysiz mü,chg,phrase,2,
Ch 5,18,ایستامایمیزمو,istemeymiz mü,Do we not seek it?,іздемейміз бе?,не ищем ли мы?,izlamaymizmi?,aramaz mıyız?,istemeymiz mü,chg,phrase,2,
Ch 5,19,قسقە خط,qısqa ḫaṭ,short missive,қысқа хат,короткое письмо,qisqa xat,kısa mektup,qısqa ḫaṭ,chg,phrase,2,
Ch 5,20,ایگیز تام,égiz tam,high wall,биік дуал,высокая стена,baland devor,yüksek duvar,égiz tam,chg,phrase,2,
Ch 5,21,تولا ایگیز,tola égiz,very tall,өте биік,очень высокий,juda baland,çok yüksek,tola égiz,chg,phrase,2,
Ch 5,22,تولا خواەلايدور,tola ḫᵛāhlaydur,She desires it very much,қатты қалайды,очень хочет,juda xohlaydi,çok ister,tola ḫᵛāhlaydur,chg,phrase,2,
Ch 5,23,اوقی بار، اما یاری یوق,"Oqı bar, ammā yarı yoq","He has an arrow, but no bow.","оғы бар, бірақ садағы жоқ","у него есть стрела, но нет лука","o'qi bor, ammo yoyi yo'q",oku var ama yayı yok,"Oqı bar, ammā yarı yoq",chg,sentence,5,
Ch 5,24,شوردریانینک سویی آچیق، اما بو دریانینک سویی شیریندور,"Şordaryānıñ suyı aççıq, ammā bu daryānıñ suyı şı̇̄rı̇̄ndür","The sea’s water is bitter, but this river’s water is sweet.","теңіздің суы ащы, бірақ бұл дарияның суы тұщы","вода моря горькая, но вода этой реки пресная","sho'rdaryoning suvi achchiq, ammo bu daryoning suvi shirindir",deniz suyu acıdır ama bu nehrin suyu tatlıdır,"Şordaryānıñ suyı aççıq, ammā bu daryānıñ suyı şı̇̄rı̇̄ndür",chg,sentence,8,
Ch 5,25,اول کاشغرغە بارادور، اما کاشغرنینک یولی اوزوندور,"Ol Kaşǧarǧa baradur, ammā Kaşǧarnıñ yolı uzundur","He is going to Kashgar, but the road to Kashgar is long.","ол Қашқарға барады, бірақ Қашқардың жолы ұзын","он идет в Кашгар, но дорога в Кашгар длинная","u Qashqarga boradi, ammo Qashqarning yo'li uzundir",o Kaşgar'a gidiyor ama Kaşgar'ın yolu uzundur,"Ol Kaşǧarǧa baradur, ammā Kaşǧarnıñ yolı uzundur",chg,sentence,7,
Ch 5,26,توختەنينک اویی چولدە، اما قودوقی تولا چوقوردور,"Toḫtanıñ üyi çölde, ammā quduqı tola çuqurdur","Toḫta’s house is in the desert, but his well is very deep.","Тоқтаның үйі шөлде, бірақ құдығы өте терең","дом Тохты в пустыне, но его колодец очень глубокий","To'xtaning uyi cho'lda, ammo qudug'i juda chuqurdir",Tohta'nın evi çölde ama kuyusu çok derindir,"Toḫtanıñ üyi çölde, ammā quduqı tola çuqurdur",chg,sentence,7,
Ch 5,27,کاشغر دریاسی کنکرو هم چوقوردور,Kaşǧar daryāsı keñrü häm çuqurdur,The Kashgar River is wide and deep.,Қашқар дариясы кең әрі терең,река Кашгар широкая и глубокая,Qashqar daryosi keng ham chuqurdir,Kaşgar nehri geniş ve derindir,Kaşǧar daryāsı keñrü häm çuqurdur,chg,sentence,5,
Ch 5,28,کنکرو، چوقور دریاغە بارامن,"Käñrü, çuqur daryāǧa baramen",I am going to the wide and deep river.,"кең, терең дарияға барамын","я иду к широкой, глубокой реке","keng, chuqur daryoga boraman","geniş, derin nehre gidiyorum","Käñrü, çuqur daryāǧa baramen",chg,phrase,4,
Ch 5,29,بیز خوتانغە بارامیز,Biz Ḫotanğa baramız,We are going to Khotan.,біз Хотанға барамыз,мы идем в Хотан,biz Xo'tanga boramiz,biz Hotan'a gidiyoruz,Biz Ḫotanğa baramız,chg,phrase,3,
Ch 5,30,توختە هم بارادور,Toḫta häm baradur,Toḫta is also going.,Тоқта да барады,Тохта тоже идет,To'xta ham boradi,Tohta da gidiyor,Toḫta häm baradur,chg,phrase,3,
Ch 5,31,عربستاندە یخشی آت بار,ʿArabistānda yaḫşı āṭ bar,"In Arabia, there are good horses",Арабияда жақсы ат бар,в Аравии есть хорошие лошади,Arabistonda yaxshi ot bor,Arabistan'da iyi at var,ʿArabistānda yaḫşı āṭ bar,chg,phrase,4,
Ch 5,32,کوچادە هم بار,Kuçada häm bar,"In Kucha, there are also good horses.",Кучада да бар,в Куче тоже есть,Kuchada ham bor,Kuça'da da var,Kuçada häm bar,chg,phrase,3,
Ch 5,33,خواجەلار کاشغردين کلادور,ḫᵛācalar Kaşǧardın keledür,The khwajas are coming from Kashgar,қожалар Қашқардан келеді,ходжи идут из Кашгара,xo'jalar Qashqardan keladi,hocalar Kaşgar'dan geliyor,ḫᵛācalar Kaşǧardın keledür,chg,phrase,3,
Ch 5,34,روسىيادىن ھەم کلادور,Rūsiyadın häm keledür,They are also coming from Russia,Ресейден де келеді,из России тоже идут,Rossiyadan ham keladi,Rusya'dan da geliyorlar,Rūsiyadın häm keledür,chg,phrase,3,
Ch 5,35,بیز قوی و ایناکلارنی هم سویامیز,Biz qoy wa ineklerni häm soyamız,"We will slaughter sheep and cows, too.",біз қой мен сиырларды да соямыз,мы зарежем овец и коров тоже,biz qo'y va sigirlarni ham so'yamiz,biz koyun ve inekleri de keseriz,Biz qoy wa ineklerni häm soyamız,chg,sentence,6,
